id;year_published;ISBN;SISO;AVI;category_youth;EAN_wrong;ISSN_wrong;ZIZO;literarytype;SISO_libraries;title;type;category_music;language;keywords_youth;ISSN;author_type;series_title;publisher;age;keywords_local;category_adults;pages;keyword_adults;series_edition;ISBN_wrong;keywords_libraries;author_lastname;EAN;author_firstname;keyword_youth
2^1000079;2008;9789031726400;Polen 993;;;;;LAPLPL;non-fictie;;Polen;Boek;;Nederlands;;;auteur;;Meinema;;;;211 p.;;;;;van Veldhuizen;;Piet;
2^1000080;1995;9789052890678;;;;;;;fictie;;Russische roulette;Strip;;Nederlands;;;scenario van;;Farao-Talent;;;Stripverhalen;48 p.;;;;;Ryelandt;;;
2^1000081;2008;9781841622446;Cyprus 995;;;;;;non-fictie;;North Cyprus;Boek;;Engels;;;auteur;;Bradt;;;;VIII, 152 p., [16] p. pl.;;;;;Darke;;Diana;
2^1000082;cop. 2009;9789055159932;;;;;;;fictie;;Ik stond laatst voor een poppenkraam;Boek;;Nederlands;;;auteur;;Van Gennep;;;Waargebeurd;223 p.;Loverboys;;;;Mosterd;;Lucie;
2^1000083;cop. 2009;9789055159697;;;;;;;fictie;;Bindi;Boek;;Nederlands;;;auteur;;Van Gennep;;;Waargebeurd;157 p., [4] p. pl.;Loverboys;;;;Mosterd;;Maria;
2^1000084;[s.d.]-;;;;;;;;;360.2;KMOPME business magazine;Tijdschrift;;Nederlands;;;;;PME-KMO;;;;;;;;KMO;;;;
2^1000085;2009;9789078902379;;;;;;;fictie;;Een mens van goede wil;Boek;;Nederlands;;;auteur;;Wever ;;;Verfilmde boeken;236 p.;Platteland ; Vlaanderen;;;;Walschap;;Gerard
2^1000086;1990-;;;;;;;;;360.8;DVO;Tijdschrift;;Nederlands;;;;;Editor International;;;;;;;;Zelfstandigen;;;;
2^1000087;cop. 2009;9789055159741;;;;;;;fictie;;Lang niet gek;Boek;;Nederlands;;;auteur;;Van Gennep;;;Waargebeurd;182 p.;Depressies;;;;Van Drie;;Diane;
2^1000088;-2.012;;;;;;;;;355.1;SERV-bericht;Tijdschrift;;Nederlands;;;;;SERV;;;;;;;;Vlaanderen ; economische politiek;;;
2^1000090;2009;;;;;;;;;;The boat that rocked;CD;Filmmuziek;Onbekend;;;;;Mercury;;;;;;;;;;602527012988;;
2^1000092;2008;;;;;;;;;;Best Greek songs;CD;Griekenland;Onbekend;;;componist;;ARC;;;;;;;;;Terzis;5019396217027;Michalis;
2^1000099;2009;;;;;;;;;;Les 6 sonates pour orgue;CD;Orgel;Frans;;;componist;Sonate voor orgel, op. 65, nr. 1 in f kl.;Calliope;;;;;;;;;Mendelssohn-Bartholdy;794881915422;Felix;
2^10001;1977;90-234-0585-4;;;;;;;;;De verhalen 1947-1977;Boek;;Nederlands;;;auteur;;De Bezige Bij;;;Verhalen;644 p.;;;;;Mulisch;;Harry;
2^1000101;2008;;;;;;;;;;Da solo;CD;ItaliÎ;Onbekend;;;uitvoerder;;Atlantic;;;;;;;;;Capossela;5051865007128;Vinicio;
2^1000102;2001;;;;;;;;;;The Vogue years;CD;;Onbekend;;;uitvoerder;;BMG;;;;;;;;;Hardy;743218223228;FranÁoise;
2^1000103;2008;9781740591058;IndonesiÎ 995;;;;;;non-fictie;;Borneo;Boek;;Engels;;;auteur;;Lonely Planet;;;;352 p.;;;;;Rowthorn;;Chris;
2^1000105;1998;;;;;;;;;;Fantaisie militaire;CD;;Onbekend;;;uitvoerder;;Barclay;;;;;;;;;Bashung;731453948822;Alain;
2^1000106;2006;;;;;;;;;;Silk and soul;CD;;Onbekend;;;uitvoerder;;RCA;;;;;;;;;Simone;828767333526;Nina;
2^1000108;2009;;;;;;;;;;Violin concertos;CD;;Onbekend;;;componist;Concerto voor viool en orkest, nr. 1, KV. 207 in Bes gr.;Virgin;;;;;;;;;Mozart;5099950211227;Wolfgang Amadeus;
2^1000109;2006;;;;;;;;;;Nina Simone sings the blues;CD;;Onbekend;;;uitvoerder;;RCA;;;;;;;;;Simone;828767333427;Nina;
2^100011;s.d.;;026.5;;;;;;;;Using a library;Dia;;Engels;;;;;Slide Center;;;;;;;;;;;;
2^1000110;cop. 2003;9789034301451;;;;;;;fictie;;Een kwestie van erfelijkheid;Strip;;Nederlands;;;illustrator;;Arboris;;;Stripverhalen;48 p.;;;;;Corbeyran;;Eric;
2^1000111;2009;;;;;;;;;;Cult cuts;CD;Filmmuziek;Onbekend;;;uitvoerder;;Silva Screen;;;;;;;;;London Music Works;738572127022;;
2^1000112;cop. 2009;9789032511630;;;;;;;fictie;;De Russische vriend;Boek;;Nederlands;;;auteur;;De Kern;;;Thrillers;350 p.;;;;;Ingemarsson;;Kajsa;
2^1000113;2007;;;;;;;;;;Essential tango;CD;Tango;Onbekend;;;uitvoerder;;Manteca;;;;;;;;;Piazzolla;698458251428;Astor;
2^1000114;cop. 2009;9789025745028;;;Prentenboeken;;;;fictie;;Olifant;Boek;;Nederlands;;;auteur;;Gottmer;vanaf 3 jaar;;;[34] p.;;;;;Hor·cek;;Petr;Fantasievriendjes
2^1000116;cop. 2009;9789032511517;;;;;;;fictie;;Krijg je wel;Boek;;Nederlands;;;auteur;;De Kern;;;Romantische literatuur;317 p.;;;;;Fallon;;Jane;
2^1000117;2009;;;;;;;;;;Lost season 4;CD;Filmmuziek;Onbekend;;;componist;;VarËse Sarabande;;;;;;;;;Giacchino;4005939696429;Michael;
2^1000127;2008;;;;;;;;;;Susan Chilcott in Brussels;CD;;Onbekend;;;uitvoerder;The turn of the screw, op. 54. How beautiful it is;CyprËs;;;;;;;;;Chilcott;5412217086015;Susan;
2^1000128;2009;;;;;;;;;;Hits with strings and things;CD;;Onbekend;;;;;Ace;;;;;;;;;;29667035224;;
2^1000129;cop. 2009;9789032511296;;;;;;;fictie;;Dagen zonder Abby;Boek;;Nederlands;;;auteur;;De Kern;;;;302 p.;Dood ; kinderen;;;;Griffin;;Lynne
2^1000130;2009;9789032511456;;;;;;;fictie;;De verre kolonie;Boek;;Nederlands;;;auteur;;De Kern;;;Historische literatuur;398 p.;AustraliÎ ; koloniale tijd;2de dr.;;;McKinley;;Tamara
2^1000131;2008;;;;;;;;;;Top 100;CD;;Onbekend;;;uitvoerder;;Universal;;;;;;;;;Last;600753134191;James;
2^1000132;2009;;;;;;;;;;Song of songs;CD;;Onbekend;;;;;Harmonia mundi;;;;;;;;;;93046748968;;
2^1000133;2006;;;;;;;;;;Tango;CD;;Onbekend;;;uitvoerder;;Columbia;;;;;;;;;Iglesias;5099748667526;Julio;
2^1000134;2009;9789032511623;;;;;;;fictie;;Bella Italia;Boek;;Nederlands;;;auteur;;De Kern;;;Romantische literatuur;292 p.;;2de dr.;;;Pellegrino;;Nicky;
2^1000135;cop. 2009;9789026124778;;;;;;;fictie;;In het nauw;Boek;;Nederlands;;;auteur;;De Fontein;;;Juridische thrillers;301 p.;;;;;Scottoline;;Lisa;
2^1000136;2009;9789046806074;;;;;;;fictie;;De vermoedens van Mr Whicher, of De moord in Road Hill House;Boek;;Nederlands;;;auteur;;Nieuw Amsterdam;;;Historische literatuur;415 p.;Moorden;3de dr.;;;Summerscale;;Kate;
2^1000137;cop. 2009;9789038919010;Turkije 993;;;;;LATRTR;non-fictie;;Cultuur bewust! Turkije;Boek;;Nederlands;;;auteur;;Elmar;;;;167 p.;;;;;MacPherson;;Charlotte;
2^1000138;2009;9789023440567;;;;;;;fictie;;Alle levenden;Boek;;Nederlands;;;auteur;;De Bezige Bij;;;;255 p.;Platteland ; Verenigde Staten;;;;Morgan;;C.E.
2^1000139;2009;9789052474274;;;Fabels;;;;fictie;;Fantastische fabels;Boek;;Nederlands;;;auteur;;Zirkoon;vanaf 5 jaar;;;155 p.;;;;;Wildsmith;;Brian;
2^1000141;1994-;;;;;;;;;357;Sampol;Tijdschrift;;Nederlands;;1372-0740;;;Stichting Gerrit Kreveld;;;;;;;;Politicologie;;;;
2^1000142;2004;;;;;;;;;;The lion king;CD;Musicals;Onbekend;;;componist;;Walt Disney;;;;;;;;;John;809274349125;Elton;
2^1000143;1902-;;;;;;;;;300.2;De gids op maatschappelijk gebied;Tijdschrift;;Nederlands;;;;;Vormingscentrum Ter Munk;;;;;;;;Sociale wetenschappen;;;;
2^1000146;2009;;;;;;;;;;Goldberg variations;CD;;Onbekend;;;componist;Variaties voor klavecimbel, BWV. 988 ;Deutsche Grammophon;;Harp;;;;;;;Bach;28947781653;Johann Sebastian;
2^1000148;2009;;;;;;;;;;This is my life ; Does anybody miss me;CD;;Onbekend;;;uitvoerder;;BGO;;;;;;;;;Bassey;5017261208606;Shirley
2^1000150;cop. 1985;9789030380245;;;;;;;fictie;;De roes van het bloed;Strip;;Nederlands;;;auteur;;Casterman;;;Stripverhalen;45 p.;;;;;Sokal;;;
2^1000151;2003-;;;;;;;;;372.6;Retail Update newsletter;Tijdschrift;;Nederlands;;;redacteur;;Editing Media Group;;;;;;;;Detailhandel;Van Rompaey;;Stefan;
2^1000153;cop. 2008;;Duitsland 945.3;;;;;TWWODR;non-fictie;;De geschiedenis van de Duitse Wehrmacht;DVD-Video;;Duits;;;;;Just Entertainment;;;;;;;;;;8717344733137;;
2^1000154;cop. 2009;9789026615306;;;;;;;fictie;;Waterspiegel;Boek;;Nederlands;;;auteur;;Callenbach;vanaf 9 jaar;;;109 p.;;;;;Warmels;;Helga;Ouders
2^1000156;cop. 2009;9789038918990;Noorwegen 993;;;;;LANWNW;non-fictie;;Cultuur bewust! Noorwegen;Boek;;Nederlands;;;auteur;;Elmar;;;;166 p.;;;;;March;;Linda;
2^1000162;2009;;;;;;;;;;Romancendres;CD;;Onbekend;;;componist;Romances voor viool en piano, op. 22, nr. 1-3; Arr.;ECM;;;;;;;;;Holliger;28947632252;Heinz
2^1000163;2009;9781598801446;Verenigde Staten 995;;;;;;non-fictie;;Texas;Boek;;Engels;;;auteur;;Avalon Travel;;;;427 p.;;;;;Rhodes;;Andy;
2^1000164;2008;;;;;;;;;;Melancholie;CD;;Onbekend;;;componist;;RCA;;;;;;;;;Schumann;886971681727;Robert;
2^1000168;cop. 2009;9789029567442;;;;;;;fictie;;In Florence;Boek;;Nederlands;;;auteur;;De Arbeiderspers;;;;205 p.;Florence;;;;Ten Bosch;;Ad;
2^1000174;2008;;;;;;;;;;Piano concertos no.1;CD;;Onbekend;;;componist;Concerto voor piano en orkest, nr. 1, S. 124 in Es gr.;Naxos;;;;;;;;;Liszt;747313051779;Franz;
2^1000175;2009;9789029567633;;;;;;;fictie;;De dood in VenetiÎ en andere verhalen;Boek;;Nederlands;;;auteur;Tristan;De Arbeiderspers;;;;307 p.;;;;;Mann;;Thomas;
2^1000176;2009;9789025364212;;;;;;;fictie;;De avonturen van Alice in Wonderland ; Achter de spiegel en wat Alice daar aantrof;Boek;;Nederlands;;;auteur;De avonturen van Alice in Wonderland;Athenaeum-Polak en Van Gennep;;Friedl;;247 p.;;;;;Carroll;;Lewis
2^1000183;2009;;;;;;;;;;Organ concertos, op. 4;CD;;Onbekend;;;componist;Concerto voor orgel en orkest, nr. 3, HWV. 291, op. 4, nr. 3 in g kl.;L;;;;;;;;;H‰ndel;28947814658;Georg Friedrich;
2^1000184;2009;9789025364205;;;;;;;fictie;;Woeste hoogten;Boek;;Nederlands;;;auteur;;Athenaeum-Polak en Van Gennep;;Friedl;Verfilmde boeken;358 p.;Onmogelijke liefde;;;;BrontÎ;;Emily;
2^1000185;2009;9789025364267;;;;;;;fictie;;Leer mij je liefhebben;Boek;;Nederlands;;;auteur;;Athenaeum-Polak en Van Gennep;;;Biografische literatuur;318 p., [16] p. pl.;Nederlands-IndiÎ;;;;Groenhart;;Kristine;
2^1000192;2008;;;;;;;;;;Symphonies;CD;;Onbekend;;;componist;Symfonie voor orkest, Eisen C1 in C gr.;Chandos;;;;;;;;;Mozart;95115149621;Leopold;
2^1000193;cop. 2009;9789089900074;;;;;;;fictie;;Deadline;Boek;;Nederlands;;;auteur;;Arena;;;Thrillers;253 p.;Journalistiek;;;;Van den Eynden;;Sabine;
2^1000195;cop. 2006;;;;;;;;fictie;;In the mood for love;DVD-Video;;Chinees;;;regisseur;;A-Film;;;Speelfilms;;Onvermogen tot liefde;;;;Wong;8716777056165;Kar-wai;
2^1000197;cop. 2009;9789049500054;;;;;;;fictie;;Little brother;Boek;;Nederlands;;;auteur;;De Vliegende Hollander;;;Thrillers;335 p.;Terrorisme;;;;Doctorow;;Cory;
2^1000198;2007;;;;;;;;fictie;;The proposition;DVD-Video;;Engels;;;regisseur;;A-Film;;;Speelfilms;;AustraliÎ ; koloniale tijd;;;;Hillcoat;8716777921395;John
2^1000199;2009;;;;;;;;fictie;;Les choristes;DVD-Video;;Engels;;;regisseur;;A-Film;;;Muziekfilms;;Internaten ; Frankrijk;;;;Barratier;8716777055601;Christophe
2^1000200;cop. 2009;9789049500092;;;;;;;fictie;;Het gezelschap van leugenaars;Boek;;Nederlands;;;auteur;;De Vliegende Hollander;;;Historische literatuur;477 p.;Engeland ; 14de eeuw;;;;Maitland;;Karen
2^1000201;cop. 2005;;;;;;;;fictie;;Il gattopardo;DVD-Video;;Italiaans;;;regisseur;;A Film;;;Historische films;;Adel ; SiciliÎ ; 19de eeuw;;;;Visconti;8716777052716
2^1000202;2009;;;;;;;;;;Blending times;CD;;Onbekend;;;uitvoerder;;Freeworld;;;;;;;;;Coltrane;805772500129;Ravi;
2^1000203;cop. 2009;9789049500047;;;;;;;fictie;;De wilde gave;Boek;;Nederlands;;;auteur;;De Vliegende Hollander;;;Fantasy;207 p.;;;;;Le Guin;;Ursula;
2^1000204;2008;;;;;;;;;;Sounds of New Orleans;CD;New Orleans Jazz;Onbekend;;;;;Storyville;;;;;;;;;;717101610228;;
2^1000205;2008;;;;;;;;;;Sounds of New Orleans;CD;New Orleans Jazz;Onbekend;;;;;Storyville;;;;;;;;;;717101610327;;
2^1000206;2009;;;;;;;;;;Prana dance;CD;;Onbekend;;;uitvoerder;;Highnote;;;;;;;;;Harrell;632375719227;Tom;
2^1000207;2009;9789049200626;;;;;;;fictie;;The best of Lonely Planet;Boek;;Nederlands;;;samensteller;;Forum;;;Reisverhalen;592 p.;Reizen;;;;Wheeler;;Tony;
2^1000208;1986;;;;;;;;;;Bass desires;CD;;Onbekend;;;uitvoerder;;ECM;;;;;;;;;Johnson;42282774323;Marc;
2^1000209;2009;9789020982480;ItaliÎ 995;;;;;LAITNI;non-fictie;;100 x Noord-ItaliÎ;Boek;;Nederlands;;;auteur;;Lannoo;;;;299 p.;;;;;Cole;;Herman;
2^1000210;2008;;;;;;;;;;The amazing sound of ;CD;BelgiÎ;Onbekend;;;uitvoerder;;Fresh Sound;;;;;;;;;Thielemans;8427328605267;Toots;
2^1000211;2009;9789020982497;Frankrijk 995;;;;;LAFRPR;non-fictie;;100 x Provence, CÙte d;Boek;;Nederlands;;;auteur;;Lannoo;;;;264 p.;;;;;Van Vliet;;Cathelijne;
2^1000213;2008;;;;;;;;;;La reine 1943-1957;CD;Vocale jazz;Onbekend;;;uitvoerder;;FrÈmeaux;;;;;;;;;Washington;3561302520926;Dinah;
2^1000214;1996;;;;;;;;;;The best of John Scofield;CD;;Onbekend;;;uitvoerder;;Blue Note;;;;;;;;;Scofield;724385333026;John;
2^1000215;2009;;;;;;;;;;Piety street;CD;;Onbekend;;;uitvoerder;;Emarcy;;;;;;;;;Scofield;602517911369;John;
2^1000216;2009;9789078124207;;;;;;;fictie;;Terreur;Boek;;Nederlands;;;auteur;;De rode kamer;;;Detectives;328 p.;Broman, Fredrik (personage);;;;÷stlundh;;HÂkan;
2^1000217;2008;;;;;;;;;;Five facings;CD;;Onbekend;;;uitvoerder;;Jazz Werk Statt;;;;;;;;;Lacy;4250079757954;Steve;
2^1000219;2008;;;;;;;;;;Legendary radio broadcasts;CD;Vocale jazz;Onbekend;;;uitvoerder;;Storyville;;;;;;;;;Fitzgerald;717101841226;Ella;
2^100022;s.d.;;227.1;;;;;;;;We hebben zijn ster in het oosten gezien;Dia;;Nederlands;;;;;Avimo;;;;;;;;;;;;
2^1000220;2009;;Oost-Vlaanderen 938.1;;;;;;non-fictie;;Vrijdagmarkt ;Boek;;Nederlands;;;auteur;;Ultima Thule;;;;175 p.;;;;;Van Aalst;;Pieter;
2^1000221;2008;;;;;;;;;;Iron wedding;CD;;Onbekend;;;uitvoerder;;Intakt;;;;;;;;;Takase;7640120191603;Aki;
2^1000222;2009;;;;;;;;;;He and she;CD;;Onbekend;;;uitvoerder;;Blue Note;;;;;;;;;Marsalis;5099951033125;Wynton;
2^1000224;2009;;;;;;;;;;Metamorphosen;CD;;Onbekend;;;uitvoerder;;Marsalis Music;;;;;;;;;Marsalis;874946001106;Branford;
2^1000225;1994;;;;;;;;;;At the Deer Head Inn;CD;;Onbekend;;;uitvoerder;;ECM;;;;;;;;;Jarrett;731451772023;Keith;
2^1000227;2008;;;;;;;;;;The anthology;CD;;Onbekend;;;uitvoerder;;Concord;;;;;;;;;Corea;888072308473;Chick;
2^1000229;cop. 2007;;Duitsland 947.6;;;;;TWWOHI;non-fictie;;In love with Adolf Hitler;DVD-Video;;Frans;;;regisseur;;Orion Channel;;;;;;;;;Clarke;5412012146907;Isabelle;
2^1000232;2008;;;;;;;;;;Further explorations by the Horace Silver Quintet;CD;;Onbekend;;;uitvoerder;;Blue Note;;;;;;;;;Silver;5099951437923;Horace;
2^1000236;2009;;;;;;;;;;Vespro per la Vergine;CD;;Onbekend;;;componist;Domine ad adiuvandum me festina, RV. 593;Sony;;;;;;;;;Vivaldi;886973187029;Antonio;
2^1000237;2009;;Verenigde Staten 941;;;;;GELAAZ;non-fictie;;De Amerikaanse toekomst;DVD-Video;;Engels;;;auteur;;Memphis Belle;;;;;;;;;Schama;9789089412362;Simon;
2^1000238;2008;;;;;;;;;;Liebman meets Intra;CD;;Onbekend;;;uitvoerder;;Alfa Music;;;;;;;;;Liebman;8032050008080;Dave;
2^1000239;2003;;;;;;;;;;In search of;CD;;Onbekend;;;uitvoerder;;Dreyfus Jazz;;;;;;;;;Jamal;3460503664425;Ahmad;
2^1000240;2008;;;;;;;;;;Portrait of an idealist;CD;;Onbekend;;;uitvoerder;;Leo;;;;;;;;;Namchylak;5024792052721;Sainkho;
2^1000241;2008;;;;;;;;;;Duet;CD;;Onbekend;;;uitvoerder;;Stretch;;;;;;;;;Corea;888072308275;Chick;
2^1000242;2008;9789086910328;;;;;;;fictie;;Venusdelta;Boek;;Nederlands;;;auteur;;De Standaard;;;Erotische literatuur;270 p.;;;;;Nin;;AnaÔs;
2^1000243;2009;;;;;;;;;;Lost on the way;CD;;Onbekend;;;uitvoerder;;ECM;;;;;;;;;Sclavis;602517984974;Louis;
2^1000244;2009;;;;;;;;;;Five Peace Band live;CD;;Onbekend;;;uitvoerder;;Concord;;;;;;;;;Corea;888072313972;Chick;
2^1000245;2008;;;;;;;;;;Sounds of New Orleans;CD;New Orleans Jazz;Onbekend;;;;;Storyville;;;;;;;;;;717101610129;;
2^1000246;2009;;;;;;;;;;Sky ;CD;;Onbekend;;;uitvoerder;;ECM;;;;;;;;;Turner;602517950412;Mark;
2^1000248;1999;;;;;;;;;;Winterreise;CD;;Onbekend;;;componist;Winterreise, D. 911;HyperÌon;;;;;;;;;Schubert;34571130309;Franz;
2^1000249;2006;;;;;;;;;;Unity;CD;;Onbekend;;;uitvoerder;;ESP;;;;;;;;;Wright;825481040280;Frank;
2^1000250;2009;;;;;;;;;;Man of Aran;CD;Filmmuziek;Onbekend;;;;;Rough Trade;;;;;;;;;;883870049924;;
2^1000251;2009;;;;;;;;;;Wooden arms;CD;Singer-songwriters;Onbekend;;;uitvoerder;;V2;;;;;;;;;Watson;8717931320764;Patrick;
2^1000254;2009;;;;;;;;;;Violin concerto;CD;;Onbekend;;;componist;Concerto voor viool en orkest, op. 77 in D gr.;Deutsche Grammophon;;;;;;;;;Brahms;28947774709;Johannes;
2^1000255;2009;;;;;;;;;;The eternal;CD;;Onbekend;;;;;Matador;;;;;;;;;;744861082927;;
2^1000256;2009;9789044613544;;;;;;;fictie;;De paardentekenaar;Boek;;Nederlands;;;auteur;;Prometheus;;;Verhalen;257 p.;;6de dr.;;;KrabbÈ;;Tim;
2^1000257;2009;9789044613537;;;;;;;fictie;;Vertraging;Boek;;Nederlands;;;auteur;;Prometheus;;;;143 p.;AustraliÎ;;;;KrabbÈ;;Tim;
2^1000259;2009;;;;;;;;;;Transylvania;CD;BelgiÎ;Onbekend;;;;;Munich;;;;;;;;;;742451030327;;
2^100026;cop. 1974;;226.3;;;;;;;;So entstand das Alte Testament;Dia;;Duits;;;;;Burckhardthaus;;;;;;;;;;;;
2^1000260;2001?;;;;;;;;fictie;;Farinelli, il castrato;DVD-Video;;Frans;;;regisseur;;Belga Home Video;;;Biografische films;;Castraten;;;;Corbiau;5412370832757;GÈrard;
2^1000261;cop. 2003;;;;;;;;fictie;;Le vÈlo de Ghislain Lambert;DVD-Video;;Frans;;;regisseur;;A-Film;;;Humoristische films;;;;;;Harel;8716777038338;Philippe;
2^1000263;cop. 2006;;;;;;;;fictie;;The family Stone;DVD-Video;;Engels;;;regisseur;;Twentieth Century Fox Home Entertainment;;;Humoristische films;;;;;;Bezucha;8712626022336;Thomas;
2^1000267;2008;9789029567190;;;;;;;fictie;;De New York-trilogie;Boek;;Nederlands;;;auteur;Broze stad;De Arbeiderspers;;;;;;;;;Auster;;Paul;
2^1000269;cop. 2007;;;;;;;;fictie;;Live flesh;DVD-Video;;Spaans;;;regisseur;;A-Film;;;Speelfilms;;;;;;AlmodÛvar;8716777058503;Pedro;
2^100027;1979;;227.3;;;;;;;;So entstand das Neue Testament;Dia;;Duits;;;;;Burckhardthaus;;;;;;;;;;;;
2^1000270;2006;;;;;;;;fictie;;Jean de Florette;DVD-Video;;Frans;;;regisseur;;A-Film;;;Speelfilms;;Platteland ; Provence;;;;Berri;8716777055663;Claude
2^1000271;2006;;;;;;;;fictie;;Atame!;DVD-Video;;Spaans;;;regisseur;;A-Film;;;Humoristische films;;;;;;AlmodÛvar;8716777057223;Pedro;
2^1000272;cop. 2004;;;;;;;;fictie;;Something;DVD-Video;;Engels;;;regisseur;;Warner Home Video;;;Romantische films;;;;;;Meyers;7321931319546;Nancy;
2^1000273;cop. 2008;;;;;;;;fictie;;My left foot;DVD-Video;;Engels;;;regisseur;;Lime-Lights pictures;;;Biografische films;;Brown, Christy;;;;Sheridan;5412012149090;Jim;
2^1000274;s.a.;9789058492418;;;;;;;fictie;;Mon oncle;DVD-Video;;Frans;;;regisseur;;Filmmuseum;;;Humoristische films;;;;;;Tati;;Jacques;
2^1000275;2009;;;;;;;;fictie;;A room with a view;DVD-Video;;Engels;;;regisseur;;A-Film;;;Speelfilms;;Burgerij ; Groot-BrittanniÎ;;;;Ivory;8716777924303;James
2^1000276;cop. 2007;;;;;;;;fictie;;Hannah and her sisters;DVD-Video;;Engels;;;regisseur;;MGM DVD;;;Humoristische films;;Man-vrouwrelatie;;;;Allen;8712626034186;Woody;
2^1000277;cop. 2007;;;;;;;;fictie;;Radio days;DVD-Video;;Engels;;;regisseur;;MGM DVD;;;Humoristische films;;;;;;Allen;8712626034124;Woody;
2^1000278;cop. 2007;;;;;;;;fictie;;Broadway Danny Rose;DVD-Video;;Engels;;;regisseur;;MGM DVD;;;Humoristische films;;;;;;Allen;8712626034209;Woody;
2^1000279;cop. 2007;;;;;;;;fictie;;De ontdekking van de hemel;DVD-Video;;Engels;;;regisseur;;RCV;;;Speelfilms;;Tien Geboden;;;;KrabbÈ;8713045211363;Jeroen;
2^1000280;cop. 2006;;;;;;;;fictie;;Spring, summer, fall, winter... and spring;DVD-Video;;Koreaans;;;regisseur;;A-Film;;;Speelfilms;;Boeddhisme;;;;Kim;8716777055618;Ki-Duk;
2^1000281;2006;;;;;;;;fictie;;Rashomon;DVD-Video;;Japans;;;regisseur;;A-Film;;;Speelfilms;;;;;;Kurosawa;8716777058169;Akira;
2^1000282;cop. 2006;;;;;;;;fictie;;When Harry met Sally;DVD-Video;;Engels;;;regisseur;;MGM DVD;;;Humoristische films;;;;;;Reiner;8712626008200;Rob;
2^1000283;cop. 2007;;;;;;;;fictie;;Mystic pizza;DVD-Video;;Engels;;;regisseur;;MGM DVD;;;Romantische films;;;;;;Petrie;8717438133034;Donald;
2^1000285;2007;;;;;;;;fictie;;Nobody knows;DVD-Video;;Japans;;;regisseur;;A-Film;;;Speelfilms;;Gezin;;;;Koreeda;8716777059630;Hirokazu;
2^1000286;2006;;;;;;;;fictie;;Tokyo story;DVD-Video;;Japans;;;regisseur;;A-Film;;;Speelfilms;;;;;;Ozu;8716777058046;Yasujiro;
2^1000288;cop. 2008;9789067271691;135;;;;;FIFIFI;non-fictie;;Een schitterend ongeluk;DVD-Video;;Nederlands;;;samensteller;;VPRO;volwassenen;;;;;;;;Kayzer;;Wim;
2^1000290;cop. 2009;9789060385616;157.4;;;;;;non-fictie;;Grondslagen voor een verruiming van de geneeskunde volgens geesteswetenschappelijke inzichten;Boek;;Nederlands;;;auteur;;Vrij Geestesleven;;;;151 p.;;;;;Steiner;;Rudolf;
2^1000294;cop. 2009;9789023923459;Frankrijk 944.4;;;;;WENTNT;non-fictie;;Frankrijk en de hugenoten;Boek;;Nederlands;;;auteur;;Boekencentrum;;;;629 p.;;1;;;Van Enk;;P.L.;
2^1000296;cop. 2009;9789046805633;BosniÎ-Herzegovina 337;;;;;TWNNNN;non-fictie;;De jacht op Karadzic;Boek;;Nederlands;;;auteur;;Nieuw Amsterdam;;;;269 p.;;;;;Hawton;;Nick;
2^1000297;2009;9789020982893;708.5;;;;;FTSPSP;non-fictie;;De exotische mens;Boek;;Nederlands;;;redacteur;;Lannoo;;;;175 p.;;;;;Allegaert;;Patrick;
2^1000298;2009;978-2-509-00363-8;;;;;;OPOBGE;;346.1;GemeentefinanciÎn voor niet-specialisten;Boek;;Nederlands;;;auteur;FinanciÎn en economisch beleid;Politeia;;;;160 p.;;8ste herz. ed.;;GemeentefinanciÎn;Leroy;;Jan;
2^1000299;2009;9789064455100;339.7;;;;;OPOVII;non-fictie;;Als de NAVO de passie preekt;Boek;;Nederlands;;;auteur;;EPO;;;;311 p.;;;;;De Brabander;;Ludo;
2^1000300;2009;9789035131521;248.5;;;;;RLCHPA;non-fictie;;Sleutelbewaarders;Boek;;Nederlands;;;auteur;;Bakker;;;;513 p.;;;;;Collins;;Roger;
2^1000302;cop. 2007;;;;;;;;fictie;;La vita Ë bella;DVD-Video;;Italiaans;;;regisseur;;RCV;;;Speelfilms;;Deportaties ; Wereldoorlog II;;;;Benigni;8713045214456;Roberto
2^1000303;2009;9789056179250;330.91;;;;;TWNNIT;non-fictie;;De heilige wereldoorlog;Boek;;Nederlands;;;auteur;;Van Halewyck;;;;440 p.;;;;;Lambrecht;;Jef;
2^1000304;cop. 2008;;;;;;;;fictie;;The notebook;DVD-Video;;Engels;;;regisseur;;RCV;;;Romantische films;;;;;;Cassavetes;8713045214852;Nick;
2^1000306;2009;9789002232756;629.4;;;;;EDVKVK;non-fictie;;Vegetarisch koken in 30 minuten;Boek;;Nederlands;;;auteur;;Standaard;;;;158 p.;;;;;Duerinck;;Miki;
2^1000307;2009;9789046805787;China 355.2;;;;;GELAAZ;non-fictie;;China zet de wereld op z;Boek;;Nederlands;;;auteur;;Nieuw Amsterdam;;;;336 p.;;5de, herz. dr.;;;Kynge;;James;
2^1000308;2006;;;;;;;;fictie;;Ae fond kiss;DVD-Video;;Engels;;;regisseur;;A-Film;;;Speelfilms;;Racisme ; Groot-BrittanniÎ;;;;Loach;8716777056516;Ken
2^1000309;2008;;;;;;;;fictie;;After the wedding;DVD-Video;;Deens;;;regisseur;;A-Film;;;Speelfilms;;;;;;Bier;8716777924266;Susanne;
